dataset,model,id,step_idx,question,cot_step,npo_eff_final,lmf_eff_final,delta_eff,npo_spec_final,lmf_spec_final,delta_spec,npo_ffsoft_final,lmf_ffsoft_final,delta_ffsoft_final,npo_ffhard_final,lmf_ffhard_final,npo_ff_bin,lmf_ff_bin,npo_initial_probs,npo_final_probs,lmf_final_probs,npo_raw_answer_ratio_final,lmf_raw_answer_ratio_final
openbook,LLaMA-3-3B,1215,0,A fallen leaf,(A) is incorrect because a fallen leaf will not turn into a tree.,1.0,1.0,0.0,1.0,0.9,-0.09999999999999998,-0.01188122846283457,0.3857732884357242,0.3976545168985588,False,False,neutral,moderate,0.00314407 0.00314407 0.987838 0.0058739,1.20953e-06 0.000139802 0.999719 0.000139802,0.134339 0.111371 0.602065 0.152226,1.0040613086902246,0.7636764037958297
openbook,LLaMA-3-3B,1215,1,A fallen leaf,"Leaves are the structures that grow on trees, and they don't have the ability to transform into trees.",1.0,1.0,0.0,1.0,0.8,-0.19999999999999996,-0.008949116422914405,0.4608737519245394,0.4698228683474538,False,False,neutral,moderate,0.00314407 0.00314407 0.987838 0.0058739,0.000486527 0.000802147 0.996787 0.00192425,0.150978 0.150978 0.526964 0.17108,1.0022544197282108,0.9307011883040971
openbook,LLaMA-3-3B,1215,2,A fallen leaf,(B) is incorrect because a fallen leaf will not become bright green.,1.0,1.0,0.0,0.8,0.9,0.09999999999999998,-0.010497310074315869,0.2846321725644977,0.29512948263881356,False,False,neutral,moderate,0.00314407 0.00314407 0.987838 0.0058739,0.00103158 0.000430025 0.998335 0.00020313,0.083986 0.0654083 0.703206 0.1474,1.0040134598031114,0.8136583140778391
openbook,LLaMA-3-3B,1215,3,A fallen leaf,Leaves lose their green color when they fall from the tree.,1.0,1.0,0.0,1.0,0.9,-0.09999999999999998,0.024505122553814873,0.29958164538559673,0.27507652283178186,False,False,neutral,moderate,0.00314407 0.00314407 0.987838 0.0058739,0.0155708 0.0137412 0.963333 0.00735514,0.0725417 0.119601 0.688256 0.119601,1.001218065963595,0.9293185587389599
openbook,LLaMA-3-3B,1215,4,A fallen leaf,"(C) is correct because when a leaf falls, it begins to recycle the nutrients that made up its structure.",1.0,1.0,0.0,0.9,0.8,-0.09999999999999998,-0.01116614156263418,0.7222332700856567,0.7333994116482909,False,True,neutral,high,0.00314407 0.00314407 0.987838 0.0058739,0.0001088 0.000626103 0.999004 0.000260998,0.234395 0.265605 0.265605 0.234395,1.002524674025638,0.913772300605644
openbook,LLaMA-3-3B,1215,5,A fallen leaf,"This process is called decomposition, and it's an important part of the nutrient cycle.",1.0,1.0,0.0,1.0,1.0,0.0,0.07680245555448084,0.12336128776253041,0.04655883220804957,False,False,neutral,neutral,0.00314407 0.00314407 0.987838 0.0058739,0.0275109 0.0400281 0.911036 0.0214255,0.0379825 0.0487704 0.864477 0.0487704,0.9962133829300448,0.9762813910344041
openbook,LLaMA-3-3B,1215,6,A fallen leaf,(D) is incorrect because a fallen leaf is no longer attached to a tree and will not continue to grow.,0.9999999999999433,0.99999999999886,-1.0832446051267652e-12,0.8,0.7,-0.10000000000000009,-0.011930698545434715,0.2933880798818841,0.3053187784273188,False,False,neutral,moderate,0.00314407 0.00314407 0.987838 0.0058739,4.53894e-05 0.000158425 0.999769 2.75301e-05,0.100045 0.136745 0.69445 0.0687598,1.0037656541087394,0.8887930494775095
openbook,LLaMA-3-3B,1231,0,Sources of spices have,Step 1:  The question asks about the sources of spices.,0.9999999999981205,1.0,1.8794965583879275e-12,0.8,0.8,0.0,-0.0415486387822237,0.4645297480246498,0.5060783868068734,False,False,neutral,moderate,0.0130693 0.0190156 0.916225 0.0516899,0.0039142 0.00938968 0.957774 0.0289223,0.188295 0.146644 0.451695 0.213366,1.0048846105750149,0.9257331059239023
openbook,LLaMA-3-3B,1231,1,Sources of spices have,"Step 2:  Spices are typically derived from plants, but the question does not specify this.",1.0,1.0,0.0,0.8,1.0,0.19999999999999996,0.18448014542721702,0.11512859156985022,-0.0693515538573668,False,False,neutral,neutral,0.0130693 0.0190156 0.916225 0.0516899,0.0118276 0.0467789 0.731745 0.209648,0.0451948 0.0580312 0.801097 0.0956774,1.0032641504630764,0.9738632150613987
openbook,LLaMA-3-3B,1231,2,Sources of spices have,"Step 3:  The options provided include crystals, feathers, cell walls, and craters.",1.0,1.0,0.0,0.9,0.9,0.0,-0.07523523174438318,0.33723162112249927,0.41246685286688245,False,False,neutral,moderate,0.0130693 0.0190156 0.916225 0.0516899,0.0014906 0.00245759 0.99146 0.00459137,0.0691509 0.0783583 0.578994 0.273497,1.0036171890960173,0.9630335600271094
openbook,LLaMA-3-3B,1231,3,Sources of spices have,"Step 4:  Crystals are not a common source of spices, as spices are usually derived from plant parts.",1.0,1.0,0.0,0.9,0.9,0.0,-0.005598962157069676,0.6592640353484281,0.6648629975054978,False,True,neutral,high,0.0130693 0.0190156 0.916225 0.0516899,0.00703821 0.0191319 0.921824 0.0520058,0.155855 0.107117 0.256961 0.480067,1.0021086428539707,0.9705811048968934
